
"KS601UK - Economic activity"
"ONS Crown Copyright Reserved [from Nomis on 28 May 2016]"
"Population :","All usual residents aged 16 to 74"
"Units      :","Persons"
"Date       :","2011"

"Area","mnemonic","All usual residents aged 16 to 74","Economically active","Economically active: In employment","Economically active: Employee: Part-time","Economically active: Employee: Full-time","Economically active: Self-employed","Economically active: Unemployed","Economically active: Full-time student","Economically Inactive","Economically inactive: Retired","Economically inactive: Student (including full-time students)","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other","Unemployed: Age 16 to 24","Unemployed: Age 50 to 74","Unemployed: Never worked","Long-term unemployed"
"scotcouncil2011:North Ayrshire","S12000021",100.0,65.2,55.5,13.5,35.4,6.5,6.8,2.9,34.8,18.4,4.4,3.9,6.2,1.9,2.0,1.3,0.9,3.0
"scotcouncil2011:Orkney Islands","S12000023",100.0,73.7,69.3,16.5,37.5,15.2,2.4,2.0,26.3,16.8,2.4,3.1,3.0,1.0,0.8,0.5,0.2,0.8
"scotcouncil2011:Perth and Kinross","S12000024",100.0,71.0,65.0,14.3,40.1,10.6,3.3,2.7,29.0,17.2,3.5,3.0,3.3,1.9,1.1,0.7,0.4,1.1
"scotcouncil2011:Scottish Borders","S12000026",100.0,69.6,63.5,15.1,36.3,12.1,4.0,2.1,30.4,18.6,3.5,3.1,3.6,1.5,1.3,0.9,0.5,1.5
"scotcouncil2011:Shetland Islands","S12000027",100.0,78.1,74.0,17.4,47.6,9.0,2.0,2.0,21.9,12.8,2.5,2.3,3.0,1.3,0.7,0.4,0.2,0.7
"scotcouncil2011:South Ayrshire","S12000028",100.0,65.7,57.8,14.5,35.3,8.0,4.8,3.1,34.3,19.9,3.9,3.6,5.2,1.7,1.5,1.0,0.6,1.9
"scotcouncil2011:South Lanarkshire","S12000029",100.0,70.1,61.9,13.2,41.6,7.0,5.1,3.1,29.9,15.5,3.8,3.3,5.6,1.8,1.6,1.0,0.7,2.0
"scotcouncil2011:Stirling","S12000030",100.0,68.0,58.5,12.6,36.7,9.3,3.9,5.6,32.0,15.1,7.6,3.3,4.1,1.9,1.2,0.7,0.5,1.5
"scotcouncil2011:Aberdeen City","S12000033",100.0,73.3,62.9,11.7,45.4,5.8,3.1,7.3,26.7,10.7,7.7,3.2,3.4,1.6,0.9,0.5,0.4,1.1
"scotcouncil2011:Aberdeenshire","S12000034",100.0,74.9,69.5,15.2,44.1,10.2,2.5,2.9,25.1,13.6,3.1,4.2,2.7,1.4,0.8,0.5,0.3,0.9
"scotcouncil2011:Argyll and Bute","S12000035",100.0,68.6,62.7,14.0,36.6,12.1,4.1,1.8,31.4,19.6,3.5,3.2,3.6,1.5,1.2,1.0,0.4,1.5
"scotcouncil2011:City of Edinburgh","S12000036",100.0,69.0,59.6,11.4,40.3,7.9,3.9,5.5,31.0,11.6,10.3,3.5,3.7,1.9,1.0,0.7,0.5,1.4
"scotcouncil2011:Renfrewshire","S12000038",100.0,68.7,59.8,13.2,41.1,5.4,5.1,3.8,31.3,15.5,4.5,3.2,6.4,1.7,1.5,1.0,0.7,2.0
"scotcouncil2011:West Dunbartonshire","S12000039",100.0,67.6,58.0,13.8,39.5,4.8,6.4,3.2,32.4,14.8,4.0,4.1,7.7,1.8,2.0,1.2,0.9,2.7
"scotcouncil2011:West Lothian","S12000040",100.0,72.2,64.4,13.5,44.7,6.2,5.0,2.8,27.8,13.7,3.5,3.6,5.0,2.0,1.7,0.8,0.6,1.8
"scotcouncil2011:Angus","S12000041",100.0,69.3,62.2,14.3,39.5,8.5,4.2,2.9,30.7,18.1,3.7,3.4,3.8,1.7,1.4,0.8,0.6,1.6
"scotcouncil2011:Dundee City","S12000042",100.0,64.4,52.1,12.6,34.7,4.9,5.7,6.6,35.6,14.2,10.1,3.2,6.0,2.0,1.7,1.0,0.9,2.4
"scotcouncil2011:North Lanarkshire","S12000044",100.0,69.6,60.4,13.2,41.7,5.6,6.0,3.1,30.4,14.4,3.8,3.7,6.5,2.1,1.9,1.0,0.9,2.4
"scotcouncil2011:East Dunbartonshire","S12000045",100.0,69.2,61.8,13.5,39.7,8.6,3.5,3.9,30.8,17.8,5.2,3.1,3.4,1.2,1.0,0.8,0.4,1.3
"scotcouncil2011:Glasgow City","S12000046",100.0,64.5,52.7,11.1,36.2,5.4,6.5,5.4,35.5,11.3,8.7,4.1,8.4,3.0,1.8,1.0,1.2,2.7
"gor:North East","E12000001",100.0,66.1,57.5,14.2,36.8,6.5,5.4,3.3,33.9,16.0,5.9,4.0,5.8,2.2,1.6,1.0,1.0,2.1
"gor:North West","E12000002",100.0,67.8,59.6,13.9,37.5,8.2,4.7,3.5,32.2,14.8,5.6,3.9,5.6,2.2,1.4,0.8,0.8,1.8
"gor:Yorkshire and The Humber","E12000003",100.0,68.4,60.0,14.6,37.0,8.4,4.8,3.5,31.6,14.7,5.9,4.3,4.5,2.2,1.5,0.8,0.8,1.9
"gor:East Midlands","E12000004",100.0,69.3,61.8,14.4,38.8,8.7,4.2,3.3,30.7,15.0,5.8,4.0,4.1,1.9,1.2,0.8,0.6,1.6
"gor:West Midlands","E12000005",100.0,68.3,59.9,14.0,37.4,8.5,5.1,3.3,31.7,14.4,5.9,4.6,4.4,2.4,1.5,0.9,0.9,2.1
"gor:East","E12000006",100.0,71.6,64.8,14.3,40.0,10.5,3.8,3.0,28.4,14.4,4.6,4.5,3.1,1.8,1.1,0.8,0.5,1.5
"gor:London","E12000007",100.0,71.7,62.4,10.9,39.8,11.7,5.2,4.1,28.3,8.4,7.8,5.2,3.7,3.2,1.2,0.9,1.1,2.0
"gor:South East","E12000008",100.0,72.1,65.3,13.8,40.4,11.0,3.4,3.3,27.9,13.7,5.2,4.4,2.9,1.8,0.9,0.7,0.4,1.3
"gor:South West","E12000009",100.0,70.3,63.8,15.1,37.4,11.2,3.3,3.2,29.7,15.8,4.9,3.7,3.6,1.7,0.9,0.7,0.4,1.2
"gor:Wales","W92000004",100.0,65.8,58.2,13.9,35.6,8.6,4.3,3.3,34.2,16.1,6.0,3.8,6.3,2.0,1.4,0.7,0.7,1.7
"gor:Scotland","S92000003",100.0,69.0,60.5,13.3,39.6,7.5,4.8,3.7,31.0,14.9,5.5,3.6,5.1,1.9,1.4,0.9,0.7,1.8
"gor:Northern Ireland","N92000002",100.0,66.2,57.6,13.1,35.6,8.9,5.0,3.7,33.8,12.9,6.2,4.4,7.3,2.9,1.4,0.8,0.8,2.2
"ualad09:Darlington","E06000005",100.0,69.7,62.0,15.1,39.6,7.3,5.2,2.5,30.3,15.9,3.6,4.0,4.9,1.9,1.6,0.9,0.8,2.1
"ualad09:County Durham","E06000047",100.0,64.4,57.3,13.2,37.5,6.6,4.4,2.7,35.6,17.1,6.2,3.7,6.5,2.2,1.5,0.8,0.8,1.8
"ualad09:Hartlepool","E06000001",100.0,65.1,54.7,15.1,33.9,5.7,7.8,2.7,34.9,15.9,4.6,4.9,7.1,2.4,2.4,1.3,1.5,3.1
"ualad09:Middlesbrough","E06000002",100.0,63.2,51.3,15.0,31.1,5.1,7.6,4.4,36.8,13.8,7.4,5.5,6.8,3.2,2.3,1.3,1.7,3.1
"ualad09:Northumberland","E06000057",100.0,67.9,61.2,14.7,37.0,9.5,4.4,2.2,32.1,18.8,3.5,3.6,4.4,1.8,1.3,0.9,0.7,1.7
"ualad09:Redcar and Cleveland","E06000003",100.0,64.1,55.0,15.4,33.6,5.9,6.6,2.5,35.9,19.4,4.2,4.4,5.9,2.1,2.1,1.2,1.2,2.7
"ualad09:Stockton-on-Tees","E06000004",100.0,68.4,59.7,15.7,37.6,6.4,5.7,3.0,31.6,14.8,5.2,4.2,4.9,2.5,1.7,1.0,1.0,2.4
"ualad09:Gateshead","E08000037",100.0,67.7,60.0,14.2,39.8,5.9,5.0,2.7,32.3,15.9,4.6,3.8,6.0,2.0,1.5,0.8,0.8,2.0
"ualad09:Newcastle upon Tyne","E08000021",100.0,62.9,51.1,12.1,32.8,6.2,5.0,6.8,37.1,11.5,13.7,4.2,5.4,2.3,1.4,0.8,1.1,1.9
"ualad09:North Tyneside","E08000022",100.0,70.5,62.7,14.8,41.5,6.5,4.9,2.8,29.5,15.9,3.6,3.4,5.0,1.6,1.3,1.0,0.7,2.0
"ualad09:South Tyneside","E08000023",100.0,66.7,57.1,14.2,37.5,5.5,6.6,3.0,33.3,15.9,4.2,4.3,6.6,2.2,1.9,1.3,1.1,2.6
"ualad09:Sunderland","E08000024",100.0,65.9,56.7,14.2,36.9,5.6,5.8,3.4,34.1,15.7,5.2,4.2,6.9,2.1,1.9,1.0,1.1,2.3
"ualad09:Blackburn with Darwen","E06000008",100.0,64.2,55.7,13.9,34.1,7.7,5.3,3.2,35.8,12.7,5.8,6.8,7.1,3.5,1.6,0.8,1.0,2.1
"ualad09:Blackpool","E06000009",100.0,66.0,56.9,14.3,33.0,9.6,6.1,3.1,34.0,16.2,3.7,3.8,7.9,2.4,1.8,1.0,0.8,2.5
"ualad09:Cheshire East","E06000049",100.0,70.6,64.5,14.4,39.4,10.7,3.2,2.8,29.4,17.1,4.2,3.5,3.1,1.5,0.8,0.8,0.4,1.3
"ualad09:Cheshire West and Chester","E06000050",100.0,70.2,63.2,14.9,39.3,9.0,3.7,3.3,29.8,16.4,4.4,3.5,3.9,1.5,1.0,0.8,0.4,1.4
"ualad09:Halton","E06000006",100.0,68.4,60.1,14.1,40.1,5.8,5.6,2.7,31.6,14.4,4.2,4.2,7.0,1.9,1.8,0.9,0.9,2.1
"ualad09:Warrington","E06000007",100.0,72.1,65.1,14.6,42.7,7.8,4.0,3.0,27.9,14.8,3.6,3.3,4.1,2.1,1.2,0.8,0.4,1.5
"ualad09:Allerdale","E07000026",100.0,68.9,63.2,16.4,36.5,10.3,3.6,2.1,31.1,18.9,3.0,3.2,4.5,1.5,1.1,0.7,0.5,1.4
"ualad09:Barrow-in-Furness","E07000027",100.0,66.3,59.4,16.6,36.6,6.2,4.6,2.3,33.7,17.9,3.2,3.5,7.3,1.7,1.5,0.8,0.7,1.7
"ualad09:Carlisle","E07000028",100.0,71.9,65.1,16.7,39.2,9.2,3.6,3.3,28.1,15.5,3.5,2.9,4.7,1.5,1.1,0.6,0.4,1.4
"ualad09:Copeland","E07000029",100.0,67.0,61.1,15.1,38.9,7.0,4.2,1.7,33.0,18.3,3.0,3.6,5.4,2.5,1.4,0.8,0.8,1.5
"ualad09:Eden","E07000030",100.0,73.4,68.5,16.0,35.2,17.3,2.1,2.7,26.6,17.6,2.8,2.4,2.8,1.1,0.7,0.6,0.2,0.7
"ualad09:South Lakeland","E07000031",100.0,70.4,65.9,15.8,35.4,14.6,2.0,2.5,29.6,20.4,3.0,2.3,2.6,1.2,0.5,0.6,0.1,0.7
"ualad09:Bolton","E08000001",100.0,67.2,59.2,13.8,37.2,8.1,4.9,3.1,32.8,14.7,5.1,4.7,5.8,2.4,1.5,0.8,0.9,2.0
"ualad09:Bury","E08000002",100.0,70.3,63.3,14.2,40.1,9.1,4.3,2.7,29.7,14.5,4.5,3.8,4.9,1.9,1.4,0.7,0.7,1.6
"ualad09:Manchester","E08000003",100.0,63.5,50.7,10.8,33.7,6.2,5.7,7.1,36.5,7.6,14.1,4.9,6.6,3.3,1.5,0.7,1.2,2.2
"ualad09:Oldham","E08000004",100.0,66.6,58.2,13.9,36.6,7.8,5.4,3.0,33.4,14.0,5.1,5.7,5.8,2.9,1.7,0.8,1.0,2.0
"ualad09:Rochdale","E08000005",100.0,66.1,57.5,13.2,36.4,7.9,5.9,2.7,33.9,13.7,5.3,5.1,6.8,3.0,1.8,0.9,1.1,2.3
"ualad09:Salford","E08000006",100.0,68.2,58.4,12.5,39.3,6.6,5.2,4.7,31.8,12.1,5.8,4.1,6.9,2.9,1.5,0.8,0.9,2.1
"ualad09:Stockport","E08000007",100.0,71.3,64.6,14.6,40.5,9.6,3.9,2.7,28.7,15.3,4.2,3.5,4.2,1.6,1.1,0.8,0.5,1.5
"ualad09:Tameside","E08000008",100.0,68.8,61.3,13.2,40.6,7.4,5.0,2.5,31.2,14.7,4.3,4.0,6.2,2.2,1.6,0.8,0.8,2.0
"ualad09:Trafford","E08000009",100.0,72.5,65.6,14.0,41.9,9.7,3.8,3.1,27.5,13.3,4.4,3.9,4.0,1.8,1.0,0.7,0.5,1.5
"ualad09:Wigan","E08000010",100.0,68.8,61.3,13.9,40.0,7.4,4.9,2.7,31.2,16.2,3.5,3.5,6.2,1.8,1.5,0.8,0.7,2.0
"ualad09:Burnley","E07000117",100.0,66.1,58.2,14.4,36.6,7.2,5.3,2.6,33.9,15.4,4.3,4.5,7.0,2.7,1.7,0.9,0.8,2.1
"ualad09:Chorley","E07000118",100.0,70.8,65.1,14.4,41.5,9.1,3.2,2.6,29.2,16.1,3.2,2.9,4.1,2.8,1.0,0.6,0.4,1.2
"ualad09:Fylde","E07000119",100.0,66.8,61.0,13.5,37.1,10.4,3.1,2.7,33.2,20.6,3.3,3.1,4.0,2.2,0.9,0.7,0.3,1.2
"ualad09:Hyndburn","E07000120",100.0,67.0,59.4,13.5,37.7,8.1,4.6,3.0,33.0,15.1,4.3,4.5,6.7,2.4,1.7,0.7,0.7,1.7
"ualad09:Lancaster","E07000121",100.0,65.1,56.6,14.4,33.7,8.6,3.3,5.2,34.9,15.2,10.9,2.8,4.3,1.7,1.0,0.7,0.5,1.3
"ualad09:Pendle","E07000122",100.0,66.4,58.9,14.0,36.0,8.9,4.7,2.8,33.6,15.1,4.1,5.7,6.1,2.6,1.5,0.7,0.8,1.9
"ualad09:Preston","E07000123",100.0,67.7,57.0,13.6,36.7,6.7,4.4,6.3,32.3,11.7,8.2,4.4,5.4,2.6,1.3,0.6,0.7,1.8
"ualad09:Ribble Valley","E07000124",100.0,71.9,66.9,14.6,39.0,13.3,2.1,2.9,28.1,18.0,3.6,2.4,2.7,1.4,0.5,0.6,0.2,0.7
"ualad09:Rossendale","E07000125",100.0,70.3,63.6,13.6,40.1,10.0,4.2,2.5,29.7,14.7,4.3,3.6,5.4,1.7,1.3,0.8,0.6,1.7
"ualad09:South Ribble","E07000126",100.0,72.8,66.9,14.9,43.7,8.3,3.0,2.9,27.2,16.5,3.3,2.7,3.5,1.2,1.0,0.6,0.3,1.0
"ualad09:West Lancashire","E07000127",100.0,68.2,60.0,14.1,36.3,9.6,3.9,4.3,31.8,17.0,5.7,3.3,4.3,1.4,1.2,0.8,0.5,1.6
"ualad09:Wyre","E07000128",100.0,66.2,60.0,14.5,34.7,10.8,3.2,3.1,33.8,21.2,3.9,2.9,4.4,1.3,1.0,0.7,0.3,1.2
"ualad09:Knowsley","E08000011",100.0,65.6,56.0,14.3,35.9,5.9,6.5,3.0,34.4,13.6,4.8,4.5,8.8,2.7,1.9,1.1,1.3,2.7
"ualad09:Liverpool","E08000012",100.0,63.4,51.1,12.6,32.7,5.8,6.7,5.6,36.6,11.5,10.3,3.8,8.0,3.0,1.8,1.0,1.3,2.8
"ualad09:Sefton","E08000014",100.0,67.1,59.1,15.0,35.8,8.2,4.9,3.1,32.9,17.3,4.4,3.4,5.9,1.9,1.4,1.0,0.7,2.0
"ualad09:St. Helens","E08000013",100.0,66.5,58.8,14.0,38.6,6.2,5.1,2.6,33.5,17.1,4.1,3.8,6.7,1.9,1.6,0.8,0.9,2.1
"ualad09:Wirral","E08000015",100.0,66.4,58.7,15.0,36.3,7.5,5.2,2.5,33.6,16.8,4.5,3.9,6.4,2.0,1.6,1.0,0.9,2.1
"ualad09:East Riding of Yorkshire","E06000011",100.0,68.8,62.5,15.4,37.0,10.1,3.6,2.7,31.2,19.5,3.7,3.2,3.1,1.7,1.0,0.8,0.4,1.4
"ualad09:Kingston upon Hull, City of","E06000010",100.0,67.2,55.6,14.7,35.7,5.1,8.0,3.6,32.8,12.1,6.9,5.0,6.0,2.7,2.3,1.2,1.4,3.7
"ualad09:North East Lincolnshire","E06000012",100.0,68.4,59.2,16.5,36.3,6.5,6.5,2.7,31.6,15.6,4.2,4.9,4.8,2.2,2.0,1.1,1.0,2.7
"ualad09:North Lincolnshire","E06000013",100.0,69.2,62.1,15.3,39.5,7.3,4.8,2.4,30.8,16.6,3.7,4.4,4.2,1.8,1.4,0.9,0.8,1.9
"ualad09:York","E06000014",100.0,70.1,61.3,15.0,38.1,8.2,3.1,5.7,29.9,13.8,9.6,2.7,2.5,1.3,0.9,0.6,0.3,1.1
"ualad09:Craven","E07000163",100.0,71.8,66.7,15.3,36.3,15.0,2.5,2.6,28.2,18.8,3.2,2.6,2.4,1.2,0.7,0.6,0.2,1.0
"ualad09:Hambleton","E07000164",100.0,72.1,67.4,15.1,38.9,13.4,2.6,2.2,27.9,18.1,3.0,3.1,2.3,1.4,0.7,0.6,0.3,0.8
"ualad09:Harrogate","E07000165",100.0,74.2,69.0,14.9,40.8,13.3,2.6,2.6,25.8,15.5,3.3,3.4,2.3,1.3,0.6,0.6,0.2,0.9
"ualad09:Richmondshire","E07000166",100.0,75.1,70.3,13.5,44.3,12.5,2.9,1.9,24.9,14.9,2.4,3.6,2.2,1.8,0.9,0.6,0.3,1.0
"ualad09:Ryedale","E07000167",100.0,70.9,66.0,15.4,34.0,16.6,2.7,2.2,29.1,18.6,3.4,3.1,2.5,1.4,0.8,0.7,0.3,1.0
"ualad09:Scarborough","E07000168",100.0,65.8,58.5,16.2,30.7,11.7,4.2,3.0,34.2,20.3,4.0,3.5,4.7,1.8,1.2,0.9,0.4,1.7
"ualad09:Selby","E07000169",100.0,73.9,67.9,15.0,42.5,10.3,3.5,2.5,26.1,15.7,3.0,3.5,2.6,1.2,1.0,0.7,0.4,1.3
"ualad09:Barnsley","E08000016",100.0,66.5,59.1,14.6,36.9,7.7,5.1,2.2,33.5,16.4,3.7,4.4,7.0,2.1,1.7,0.8,1.0,2.1
"ualad09:Doncaster","E08000017",100.0,66.9,59.0,15.0,36.7,7.3,5.7,2.2,33.1,15.4,4.0,4.9,5.9,3.0,1.9,0.9,1.0,2.2
"ualad09:Rotherham","E08000018",100.0,67.0,59.4,15.3,36.6,7.4,5.2,2.3,33.0,16.6,3.9,4.7,5.6,2.2,1.7,0.9,1.0,2.1
"ualad09:Sheffield","E08000019",100.0,65.8,55.4,13.8,34.3,7.3,4.8,5.5,34.2,12.9,10.8,4.1,4.5,2.1,1.4,0.8,1.0,1.9
"ualad09:Bradford","E08000032",100.0,66.6,57.3,14.4,34.3,8.6,5.8,3.4,33.4,12.0,6.4,6.7,5.0,3.4,1.7,0.9,1.4,2.3
"ualad09:Calderdale","E08000033",100.0,70.5,62.9,14.7,38.7,9.5,5.0,2.6,29.5,15.1,4.1,3.9,4.4,2.0,1.4,1.0,0.7,2.0
"ualad09:Kirklees","E08000034",100.0,68.2,60.0,14.5,36.5,9.0,4.7,3.5,31.8,14.3,5.7,5.0,4.4,2.4,1.4,0.8,0.9,1.9
"ualad09:Leeds","E08000035",100.0,69.5,59.4,13.1,38.8,7.5,4.8,5.3,30.5,12.4,8.2,3.6,4.0,2.2,1.4,0.8,0.9,1.9
"ualad09:Wakefield","E08000036",100.0,68.4,61.4,14.8,39.7,6.9,4.9,2.1,31.6,16.1,3.5,4.0,5.8,2.2,1.6,0.8,0.8,1.9
"ualad09:Derby","E06000015",100.0,69.0,59.6,14.7,38.5,6.5,5.2,4.2,31.0,12.8,6.3,4.8,4.8,2.4,1.7,0.7,1.0,2.0
"ualad09:Leicester","E06000016",100.0,64.6,52.9,13.8,33.3,5.8,6.2,5.5,35.4,9.3,11.4,6.2,5.1,3.4,1.6,1.0,1.3,2.5
"ualad09:Nottingham","E06000018",100.0,61.3,48.6,11.9,31.1,5.6,6.4,6.3,38.7,9.1,16.3,4.7,5.7,3.0,1.9,0.9,1.2,2.5
"ualad09:Rutland","E06000017",100.0,69.3,64.7,14.2,38.1,12.4,2.4,2.2,30.7,16.9,5.8,3.2,1.7,3.0,0.6,0.7,0.3,0.9
"ualad09:Amber Valley","E07000032",100.0,69.9,63.8,14.8,40.0,9.0,3.9,2.2,30.1,17.4,3.4,3.8,4.1,1.5,1.2,0.7,0.5,1.6
"ualad09:Bolsover","E07000033",100.0,66.9,60.0,14.3,38.5,7.2,4.7,2.2,33.1,16.9,3.5,4.4,6.5,1.8,1.6,0.7,0.8,1.9
"ualad09:Chesterfield","E07000034",100.0,67.9,60.9,16.1,37.4,7.4,4.7,2.4,32.1,16.9,3.6,3.8,6.0,1.8,1.5,0.8,0.7,1.9
"ualad09:Derbyshire Dales","E07000035",100.0,70.3,65.4,15.9,34.9,14.6,2.7,2.2,29.7,19.1,3.3,3.0,2.5,1.8,0.7,0.7,0.3,1.1
"ualad09:Erewash","E07000036",100.0,71.5,64.5,15.1,41.5,8.0,4.5,2.4,28.5,15.6,3.6,3.8,4.0,1.6,1.5,0.9,0.6,1.9
"ualad09:High Peak","E07000037",100.0,72.1,65.5,15.3,39.1,11.1,3.8,2.7,27.9,15.7,4.3,3.0,3.7,1.3,1.1,0.8,0.5,1.5
"ualad09:North East Derbyshire","E07000038",100.0,68.0,62.0,15.9,36.9,9.3,3.7,2.3,32.0,19.3,3.4,3.5,4.5,1.4,1.1,0.8,0.6,1.4
"ualad09:South Derbyshire","E07000039",100.0,72.5,66.8,14.8,42.8,9.2,3.1,2.6,27.5,14.8,3.6,4.0,3.5,1.6,1.0,0.6,0.3,1.2
"ualad09:Blaby","E07000129",100.0,73.9,68.1,15.7,42.6,9.9,2.9,2.9,26.1,15.6,3.6,2.8,2.3,1.8,0.9,0.6,0.3,1.0
"ualad09:Charnwood","E07000130",100.0,67.7,60.2,13.8,38.1,8.4,3.1,4.4,32.3,13.7,11.4,3.1,2.8,1.3,0.9,0.6,0.4,1.2
"ualad09:Harborough","E07000131",100.0,74.0,69.0,15.2,40.9,12.9,2.5,2.5,26.0,15.5,3.9,3.0,2.0,1.7,0.6,0.6,0.3,0.8
"ualad09:Hinckley and Bosworth","E07000132",100.0,72.7,67.2,14.7,42.6,10.0,3.1,2.4,27.3,16.6,3.4,3.2,2.8,1.2,0.9,0.7,0.4,1.2
"ualad09:Melton","E07000133",100.0,74.2,68.6,15.3,41.9,11.5,2.9,2.7,25.8,15.8,3.3,3.4,2.1,1.2,0.8,0.6,0.3,1.0
"ualad09:North West Leicestershire","E07000134",100.0,71.5,65.6,14.4,42.0,9.3,3.4,2.4,28.5,16.1,3.8,3.8,3.4,1.4,1.0,0.7,0.4,1.4
"ualad09:Oadby and Wigston","E07000135",100.0,68.9,61.8,15.1,38.2,8.6,3.2,3.9,31.1,15.0,8.7,3.2,2.7,1.5,0.9,0.6,0.5,1.3
"ualad09:Boston","E07000136",100.0,69.8,63.6,15.8,39.5,8.3,4.2,2.1,30.2,16.6,3.1,3.9,4.4,2.3,1.3,0.8,0.6,1.7
"ualad09:East Lindsey","E07000137",100.0,60.8,54.9,14.3,29.8,10.9,4.0,1.9,39.2,24.1,3.2,4.4,5.8,1.8,1.3,0.9,0.5,1.5
"ualad09:Lincoln","E07000138",100.0,69.2,57.3,13.9,37.0,6.4,4.9,7.0,30.8,11.2,8.8,4.0,4.6,2.2,1.6,0.8,0.8,2.0
"ualad09:North Kesteven","E07000139",100.0,70.0,64.8,14.5,40.8,9.4,2.9,2.4,30.0,18.9,3.2,3.7,2.9,1.1,0.9,0.7,0.3,1.0
"ualad09:South Holland","E07000140",100.0,69.3,63.4,13.2,40.2,10.0,4.0,1.9,30.7,18.6,2.9,4.0,3.6,1.6,1.1,0.9,0.4,1.6
"ualad09:South Kesteven","E07000141",100.0,72.2,66.3,15.0,41.2,10.1,3.3,2.6,27.8,16.5,3.2,3.7,2.9,1.5,0.9,0.7,0.4,1.3
"ualad09:West Lindsey","E07000142",100.0,68.3,62.2,15.0,36.9,10.2,3.8,2.3,31.7,18.9,3.6,4.0,3.8,1.4,1.2,0.8,0.5,1.5
"ualad09:Corby","E07000150",100.0,73.6,65.9,13.6,46.4,5.9,4.9,2.8,26.4,12.4,3.3,3.9,5.0,1.8,1.5,0.8,0.5,1.6
"ualad09:Daventry","E07000151",100.0,72.4,66.7,13.8,41.2,11.8,3.0,2.6,27.6,15.3,3.4,3.6,2.5,2.7,0.8,0.8,0.3,1.1
"ualad09:East Northamptonshire","E07000152",100.0,72.7,67.0,13.7,42.8,10.5,3.4,2.3,27.3,15.2,4.0,4.0,2.9,1.3,1.0,0.8,0.4,1.2
"ualad09:Kettering","E07000153",100.0,73.6,67.0,14.7,43.1,9.2,4.0,2.6,26.4,14.3,3.1,3.9,3.5,1.6,1.2,0.8,0.5,1.5
"ualad09:Northampton","E07000154",100.0,74.2,65.4,13.5,43.9,8.0,4.6,4.1,25.8,11.2,5.1,3.9,3.7,1.9,1.2,0.8,0.6,1.9
"ualad09:South Northamptonshire","E07000155",100.0,76.1,71.1,14.4,43.4,13.3,2.4,2.7,23.9,14.7,3.0,3.4,1.7,1.1,0.6,0.7,0.2,0.8
